Time,Latitude_Longitude,Latitude,Longitude,Latitude_Longitude_Clean
2025-02-17 13:57:36+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-16 14:14:54+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-16 13:04:36+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-15 15:08:53+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-15 14:05:03+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-15 12:52:45+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-14 22:59:40+00:00,"42.35, -71.093",42.35,-71.093,"42.35, -71.093"
2025-02-14 22:18:21+00:00,"42.35, -71.093",42.35,-71.093,"42.35, -71.093"
2025-02-14 21:30:46+00:00,"42.349, -71.088",42.349,-71.088,"42.349, -71.088"
2025-02-14 20:15:26+00:00,"42.359, -71.094",42.359,-71.094,"42.359, -71.094"
2025-02-14 19:43:37+00:00,"42.36, -71.09",42.36,-71.09,"42.36, -71.09"
2025-02-14 14:14:48+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-13 20:58:58+00:00,"42.35, -71.093",42.35,-71.093,"42.35, -71.093"
2025-02-13 19:33:46+00:00,"42.351, -71.092",42.351,-71.092,"42.351, -71.092"
2025-02-13 19:25:12+00:00,"42.361, -71.087",42.361,-71.087,"42.361, -71.087"
2025-02-13 17:29:18+00:00,"42.36, -71.089",42.36,-71.089,"42.36, -71.089"
2025-02-13 16:00:57+00:00,"42.36, -71.093",42.36,-71.093,"42.36, -71.093"
2025-02-13 15:48:05+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-13 14:55:54+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-13 13:44:44+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-12 20:58:30+00:00,"42.361, -71.083",42.361,-71.083,"42.361, -71.083"
2025-02-12 20:58:18+00:00,"42.36, -71.084",42.36,-71.084,"42.36, -71.084"
2025-02-12 20:15:21+00:00,"42.349, -71.086",42.349,-71.086,"42.349, -71.086"
2025-02-12 19:11:55+00:00,"42.352, -71.089",42.352,-71.089,"42.352, -71.089"
2025-02-12 17:31:38+00:00,"42.36, -71.089",42.36,-71.089,"42.36, -71.089"
2025-02-12 16:25:47+00:00,"42.36, -71.089",42.36,-71.089,"42.36, -71.089"
2025-02-12 16:13:06+00:00,"42.361, -71.09",42.361,-71.09,"42.361, -71.09"
2025-02-12 13:35:24+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-12 02:34:56+00:00,"42.35, -71.093",42.35,-71.093,"42.35, -71.093"
2025-02-12 01:40:48+00:00,"42.363, -71.091",42.363,-71.091,"42.363, -71.091"
2025-02-11 17:50:43+00:00,"42.363, -71.084",42.363,-71.084,"42.363, -71.084"
2025-02-10 23:42:57+00:00,"42.35, -71.093",42.35,-71.093,"42.35, -71.093"
2025-02-10 13:53:55+00:00,"42.378, -71.105",42.378,-71.105,"42.378, -71.105"
2025-02-10 13:53:44+00:00,"42.377, -71.104",42.377,-71.104,"42.377, -71.104"
2025-02-10 13:12:58+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-10 01:30:29+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-09 23:17:04+00:00,"42.37, -71.1",42.37,-71.1,"42.37, -71.1"
2025-02-09 23:04:33+00:00,"42.36, -71.094",42.36,-71.094,"42.36, -71.094"
2025-02-09 17:07:44+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-09 16:01:40+00:00,"42.374, -71.099",42.374,-71.099,"42.374, -71.099"
2025-02-09 13:04:45+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-09 00:41:41+00:00,"42.375, -71.097",42.375,-71.097,"42.375, -71.097"
2025-02-09 00:41:32+00:00,"42.376, -71.103",42.376,-71.103,"42.376, -71.103"
2025-02-08 23:50:26+00:00,"42.376, -71.102",42.376,-71.102,"42.376, -71.102"
2025-02-08 23:49:25+00:00,"42.374, -71.1",42.374,-71.1,"42.374, -71.1"
2025-02-08 23:48:55+00:00,"42.372, -71.098",42.372,-71.098,"42.372, -71.098"
2025-02-08 23:48:35+00:00,"42.371, -71.096",42.371,-71.096,"42.371, -71.096"
2025-02-08 23:47:14+00:00,"42.368, -71.093",42.368,-71.093,"42.368, -71.093"
2025-02-08 23:45:57+00:00,"42.366, -71.092",42.366,-71.092,"42.366, -71.092"
2025-02-08 23:45:17+00:00,"42.364, -71.093",42.364,-71.093,"42.364, -71.093"
2025-02-08 23:44:05+00:00,"42.362, -71.093",42.362,-71.093,"42.362, -71.093"
2025-02-08 23:41:49+00:00,"42.36, -71.093",42.36,-71.093,"42.36, -71.093"
2025-02-08 23:40:03+00:00,"42.354, -71.09",42.354,-71.09,"42.354, -71.09"
2025-02-08 23:38:49+00:00,"42.351, -71.091",42.351,-71.091,"42.351, -71.091"
